Disease1	Disease2	weight	comorbid	colors	pathway
A71	L70	0.36331766150647	no	#4A74A9	Cell Cycle
A71	L71	0.380132171427222	no	#4A74A9	Cell Cycle
A71	M47	0.268194237736516	no	#4A74A9	Cell Cycle
A71	Q98	0.198417317598535	no	#4A74A9	Cell Cycle
A71	R65	0.340957487931801	no	#4A74A9	Cell Cycle
A90	B19	0.227864084796683	no	#4A74A9	Cell Cycle
A90	C11	0.340840838130654	no	#4A74A9	Cell Cycle
A90	C14	0.391402587163865	no	#4A74A9	Cell Cycle
A90	C15	0.531088092649281	no	#4A74A9	Cell Cycle
A90	C16	0.321430963237819	no	#4A74A9	Cell Cycle
A90	C18	0.329109997630275	no	#4A74A9	Cell Cycle
A90	C22	0.289059251201401	no	#4A74A9	Cell Cycle
A90	C25	0.283076940208706	no	#4A74A9	Cell Cycle
A90	C34	0.466714726770865	no	#4A74A9	Cell Cycle
A90	C38	0.224637313780909	no	#4A74A9	Cell Cycle
A90	C49	0.241186962731775	no	#4A74A9	Cell Cycle
A90	C64	0.201286560333004	no	#4A74A9	Cell Cycle
A90	C67	0.590049087928432	no	#4A74A9	Cell Cycle
A90	C71	0.232982682939769	no	#4A74A9	Cell Cycle
A90	C73	0.572849540249307	no	#4A74A9	Cell Cycle
A90	C74	0.23419278062712	no	#4A74A9	Cell Cycle
A90	C82	-0.198246267797407	no	#B64539	Cell Cycle
A90	C84	0.428237295945248	no	#4A74A9	Cell Cycle
A90	C90	0.285981099043189	no	#4A74A9	Cell Cycle
A90	C93	0.257529870301233	no	#4A74A9	Cell Cycle
A90	D75	0.356097420323866	no	#4A74A9	Cell Cycle
A90	G71	0.220587861925614	no	#4A74A9	Cell Cycle
A90	H31	0.257791496277199	no	#4A74A9	Cell Cycle
A90	J32	0.264371208737556	no	#4A74A9	Cell Cycle
A90	J44	0.214826745367538	no	#4A74A9	Cell Cycle
A90	J45	0.314155491166517	no	#4A74A9	Cell Cycle
A90	K13	0.363061935234199	no	#4A74A9	Cell Cycle
A90	K50	0.278957645656637	no	#4A74A9	Cell Cycle
A90	K51	0.28249904571484	no	#4A74A9	Cell Cycle
A90	K58	0.334005358164753	no	#4A74A9	Cell Cycle
A90	K70	0.35468660133152	no	#4A74A9	Cell Cycle
A90	L40	0.572888167789499	no	#4A74A9	Cell Cycle
A90	L70	0.475374738926756	no	#4A74A9	Cell Cycle
A90	L71	0.527103636415392	no	#4A74A9	Cell Cycle
A90	M33	0.426037535313468	no	#4A74A9	Cell Cycle
